time,thetao
2013-09-01,28.11589
2013-10-01,28.593845
2013-11-01,28.639446
2013-12-01,27.787048
2014-01-01,26.971329
2014-02-01,27.097643
2014-03-01,27.92338
2014-04-01,29.559702
2014-05-01,30.287117
2014-06-01,29.677814
2014-07-01,28.64801
2014-08-01,28.171833
2014-09-01,28.269396
2014-10-01,29.020641
2014-11-01,28.63749
2014-12-01,28.053755
2015-01-01,27.385696
2015-02-01,27.406317
2015-03-01,28.341293
2015-04-01,29.751255
2015-05-01,30.309711
2015-06-01,29.669313
2015-07-01,28.877548
2015-08-01,28.658453
2015-09-01,28.97104
2015-10-01,29.45604
2015-11-01,29.13517
2015-12-01,28.577036
2016-01-01,27.966215
2016-02-01,27.942799
2016-03-01,29.050455
2016-04-01,30.161867
2016-05-01,30.711712
2016-06-01,29.744574
2016-07-01,28.729954
2016-08-01,28.365374
2016-09-01,28.326632
2016-10-01,28.6309
2016-11-01,28.531824
2016-12-01,28.000214
2017-01-01,27.447227
2017-02-01,27.455193
2017-03-01,28.311598
2017-04-01,29.535336
2017-05-01,30.258904
2017-06-01,29.461628
2017-07-01,28.673897
2017-08-01,28.52441
2017-09-01,28.699823
2017-10-01,29.013227
2017-11-01,28.791292
2017-12-01,27.831034
2018-01-01,27.26242
2018-02-01,27.376984
2018-03-01,28.47115
2018-04-01,29.755505
2018-05-01,30.24672
2018-06-01,29.352358
2018-07-01,28.402796
2018-08-01,27.904716
2018-09-01,28.38638
2018-10-01,29.054098
2018-11-01,28.84297
2018-12-01,28.185406
2019-01-01,27.50125
2019-02-01,27.560612
2019-03-01,28.435783
2019-04-01,29.910795
2019-05-01,30.20398
2019-06-01,29.976683
2019-07-01,29.09083
2019-08-01,28.485115
2019-09-01,28.538004
2019-10-01,29.342196
2019-11-01,28.86604
2019-12-01,28.267298
2020-01-01,27.562866
2020-02-01,27.53045
2020-03-01,28.40955
2020-04-01,29.978882
2020-05-01,30.56073
2020-06-01,29.878563
2020-07-01,29.262718
2020-08-01,28.686312
2020-09-01,28.842484
